Unit,Lesson,Activity,Language,VisitedOn,OutTime,OutAction,TimeSpentInSeconds,Buddies
clix-platform-help-corner,1-clixplatform-help-faqs-for-students-and-teachers,11-clixplatform-help-for-students,en,2018-05-31 05:46:51.299000,2018-05-31 05:48:35.809000,course_content,104.51,NA
unit-0-english-beginner,lesson-1-colours-around-us,12-word-play,en,2018-05-31 05:41:24.388000,2018-05-31 05:41:43.806000,course_content,19.418,NA
unit-0-english-beginner,lesson-1-colours-around-us,13-picture-play,en,2018-05-31 05:41:08.457000,2018-05-31 05:41:24.388000,activity_player_detail,15.931,NA
sound,student-feedback-survey,2-grade,en,2018-05-31 05:37:01.616000,2018-05-31 05:37:26.200000,course_content,24.584,NA
sound,post-test,assessment_post-test,en,2018-05-31 05:36:28.740000,2018-05-31 05:36:47.572000,course_content,18.832,NA
post-clix-survey,student-survey,2-grade,en,2018-05-30 00:36:58.726000,2018-05-30 00:54:58.599000,my_desk,1079.873,NA
unit-3-classifying-and-defining-shapes,student-feedback-survey,1-gender,en,2018-05-30 00:36:39.440000,2018-05-30 00:36:58.726000,activity_player_detail,19.286,NA
unit-3-classifying-and-defining-shapes,student-feedback-survey,1-gender,en,2018-05-30 00:31:07.061000,2018-05-30 00:31:14.160000,course_quiz_data,7.099,NA
pre-clix-survey,student-survey,12-i-expect-to-do-well-in-my-studies,en,2018-05-30 00:30:20.583000,2018-05-30 00:31:07.061000,activity_player_detail,46.478,NA
pre-clix-survey,student-survey,13-if-i-make-mistakes-while-learning-something-new-it-means-that-i-am-not-smart,en,2018-05-30 00:25:16.851000,2018-05-30 00:28:17.343000,course_content,180.492,NA
pre-clix-survey,student-survey,12-i-expect-to-do-well-in-my-studies,en,2018-05-30 00:22:13.256000,2018-05-30 00:25:16.851000,activity_player_detail,183.595,NA
