Unit,Lesson,Activity,Language,VisitedOn,OutTime,OutAction,TimeSpentInSeconds,Buddies
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,te,2018-06-05 11:59:12.024000,2018-06-05 17:55:59.085000,my_desk,21407.061,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 21:40:33.636000,2018-06-04 21:45:09.788000,course_content,276.152,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,41-stars,en,2018-06-04 21:40:23.847000,2018-06-04 21:40:33.636000,activity_player_detail,9.789,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,te,2018-06-04 21:40:20.357000,2018-06-04 21:40:23.847000,activity_player_detail,3.49,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,41-stars,te,2018-06-04 21:40:05.394000,2018-06-04 21:40:20.357000,activity_player_detail,14.963,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,hi,2018-06-04 21:39:55.993000,2018-06-04 21:40:05.394000,activity_player_detail,9.401,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,41-stars,hi,2018-06-04 21:39:51.621000,2018-06-04 21:39:55.993000,activity_player_detail,4.372,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,hi,2018-06-04 21:38:54.655000,2018-06-04 21:39:34.980000,course_content,40.325,NA
unit-2-the-moon,lesson-1-motion-of-the-moon,11-introduction-characteristics-of-the-moon,hi,2018-06-04 21:38:50.294000,2018-06-04 21:38:54.655000,activity_player_detail,4.361,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,te,2018-06-04 21:38:38.468000,2018-06-04 21:38:50.294000,activity_player_detail,11.826,NA
unit-2-the-moon,lesson-1-motion-of-the-moon,11-introduction-characteristics-of-the-moon,te,2018-06-04 21:38:33.644000,2018-06-04 21:38:38.468000,activity_player_detail,4.824,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,te,2018-06-04 21:38:13.358000,2018-06-04 21:38:25.257000,course_content,11.899,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,te,2018-06-04 21:37:29.285000,2018-06-04 21:38:06.395000,course_content,37.11,NA
unit-1-the-earth,lesson-2-rotation-of-the-earth,21-activity-1-geosynchron,te,2018-06-04 21:37:19.627000,2018-06-04 21:37:29.285000,activity_player_detail,9.658,NA
unit-1-the-earth,lesson-1-the-spherical-earth,14-the-horizon,te,2018-06-04 21:36:54.267000,2018-06-04 21:37:07.474000,my_desk,13.207,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,te,2018-06-04 21:36:09.915000,2018-06-04 21:36:54.267000,activity_player_detail,44.352,NA
unit-1-the-earth,lesson-1-the-spherical-earth,11-introduction-the-earth-and-the-globe,te,2018-06-04 21:36:01.312000,2018-06-04 21:36:09.915000,activity_player_detail,8.603,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,hi,2018-06-04 21:35:53.684000,2018-06-04 21:36:01.312000,activity_player_detail,7.628,NA
unit-1-the-earth,lesson-1-the-spherical-earth,11-introduction-the-earth-and-the-globe,hi,2018-06-04 21:35:47.859000,2018-06-04 21:35:53.684000,activity_player_detail,5.825,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,en,2018-06-04 21:35:30.227000,2018-06-04 21:35:47.859000,activity_player_detail,17.632,NA
unit-1-the-earth,lesson-1-the-spherical-earth,11-introduction-the-earth-and-the-globe,en,2018-06-04 21:35:24.610000,2018-06-04 21:35:30.227000,activity_player_detail,5.617,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,te,2018-06-04 20:46:03.316000,2018-06-04 20:46:14.092000,course_content,10.776,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,te,2018-06-04 20:44:46.117000,2018-06-04 20:46:03.316000,activity_player_detail,77.199,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,te,2018-06-04 20:44:36.737000,2018-06-04 20:44:46.117000,activity_player_detail,9.38,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,te,2018-06-04 20:43:35.410000,2018-06-04 20:44:36.737000,activity_player_detail,61.327,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,hi,2018-06-04 20:43:28.715000,2018-06-04 20:43:35.410000,activity_player_detail,6.695,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,hi,2018-06-04 20:42:14.581000,2018-06-04 20:43:28.715000,activity_player_detail,74.134,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,hi,2018-06-04 20:42:08.926000,2018-06-04 20:42:14.581000,activity_player_detail,5.655,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,hi,2018-06-04 20:41:47.789000,2018-06-04 21:23:54.489000,course_content,2526.7,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,hi,2018-06-04 20:41:31.201000,2018-06-04 20:42:08.926000,activity_player_detail,37.725,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,hi,2018-06-04 20:41:18.050000,2018-06-04 20:41:47.789000,activity_player_detail,29.739,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,hi,2018-06-04 20:41:12.085000,2018-06-04 20:41:18.050000,activity_player_detail,5.965,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,en,2018-06-04 20:41:04.863000,2018-06-04 20:41:12.085000,activity_player_detail,7.222,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,hi,2018-06-04 20:40:46.347000,2018-06-04 20:41:31.201000,activity_player_detail,44.854,NA
unit-2-the-moon,lesson-4-moonrise-and-month,41-introduction,en,2018-06-04 20:36:03.297000,2018-06-04 20:36:37.133000,course_content,33.836,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,en,2018-06-04 20:35:59.853000,2018-06-04 20:36:03.297000,activity_player_detail,3.444,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,en,2018-06-04 20:35:31.205000,2018-06-04 20:35:59.853000,activity_player_detail,28.648,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,en,2018-06-04 20:30:16.166000,2018-06-04 20:32:02.299000,course_content,106.133,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,41-stars,en,2018-06-04 19:50:16.053000,2018-06-04 19:50:47.797000,course_content,31.744,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,en,2018-06-04 19:48:49.470000,2018-06-04 19:49:22.093000,course_content,32.623,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,en,2018-06-04 19:35:45.216000,2018-06-04 19:44:56.121000,course_content,550.905,NA
unit-2-the-moon,lesson-4-moonrise-and-month,41-introduction,en,2018-06-04 19:35:39.053000,2018-06-04 19:35:45.216000,activity_player_detail,6.163,NA
unit-2-the-moon,lesson-4-moonrise-and-month,41-introduction,en,2018-06-04 19:32:00.495000,2018-06-04 19:35:39.053000,activity_player_detail,218.558,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,en,2018-06-04 19:31:55.393000,2018-06-04 19:32:00.495000,activity_player_detail,5.102,NA
unit-1-making-and-solving-puzzles,lessson-1-making-and-solving-puzzles,pre-assessment,en,2018-06-01 17:44:14.375000,2018-06-01 17:44:25.183000,course_content,10.808,NA
unit-1-making-and-solving-puzzles,lessson-1-making-and-solving-puzzles,assessment,en,2018-06-01 17:36:45.791000,2018-06-01 17:37:08.138000,create_edit_course_page,22.347,NA
unit-2-exploring-telephone-tariffs,lesson-2-exploring-telephone-tariffs,assessment,en,2018-06-01 17:20:41.741000,2018-06-01 17:20:44.236000,create_edit_course_page,2.495,NA
unit-1-making-and-solving-puzzles,lessson-1-making-and-solving-puzzles,assessment,en,2018-06-01 17:02:09.288000,2018-06-01 17:02:24.403000,course_content,15.115,NA
unit-1-making-and-solving-puzzles,lessson-1-making-and-solving-puzzles,assessment,en,2018-06-01 16:58:10.934000,2018-06-01 16:59:51.217000,explore_courses,100.283,NA
unit-1-making-and-solving-puzzles,lessson-1-making-and-solving-puzzles,assessment,hi,2018-06-01 16:50:38.413000,2018-06-01 16:51:15.864000,course_content,37.451,NA
unit-1-making-and-solving-puzzles,lessson-1-making-and-solving-puzzles,assessment,hi,2018-06-01 16:49:50.954000,2018-06-01 16:50:38.413000,activity_player_detail,47.459,NA
unit-1-making-and-solving-puzzles,lessson-1-making-and-solving-puzzles,activity-1-puzzles-with-currency-coins,hi,2018-06-01 16:49:41.149000,2018-06-01 16:49:50.954000,activity_player_detail,9.805,NA
reflecting-on-values,lesson-1-facts-and-opinions,11-the-most-beautiful-monument,en,2018-06-01 16:38:13.062000,NA,NA,NA,NA
pre-clix-survey,student-survey,2-grade,en,2018-05-31 05:39:48.174000,2018-05-31 05:39:51.975000,course_notebook,3.801,NA
post-clix-survey,student-survey,2-grade,en,2018-05-31 05:39:43.471000,2018-05-31 05:39:48.174000,activity_player_detail,4.703,NA
physics-motion,student-feedback-survey,5-please-enter-your-student-login-id,en,2018-05-31 05:36:02.492000,2018-05-31 05:36:07.956000,course_quiz_data,5.464,NA
