Unit,Lesson,Activity,Language,VisitedOn,OutTime,OutAction,TimeSpentInSeconds,Buddies
unit-1-english-elementary,lesson-6-a-sunday-afternoon-in-chotapur,63-story-time,en,2018-05-30 12:59:55.156000,2018-05-30 13:01:50.907000,course_content,115.751,NA
unit-0-english-beginner,lesson-8-how-do-you-feel-today,word-help,en,2018-05-30 12:57:19.515000,2018-05-30 12:59:55.156000,activity_player_detail,155.641,NA
unit-0-english-beginner,lesson-8-how-do-you-feel-today,82-picture-play,en,2018-05-30 12:55:47.078000,2018-05-30 12:57:19.515000,activity_player_detail,92.437,NA
unit-0-english-beginner,lesson-8-how-do-you-feel-today,81-warm-up,en,2018-05-30 12:54:42.422000,2018-05-30 12:55:47.078000,activity_player_detail,64.656,NA
unit-0-english-beginner,lesson-7-our-family,word-help,en,2018-05-30 12:54:20.928000,2018-05-30 12:54:42.422000,activity_player_detail,21.494,NA
unit-0-english-beginner,lesson-7-our-family,75-think-and-write,en,2018-05-30 12:54:09.447000,2018-05-30 12:54:20.928000,activity_player_detail,11.481,NA
unit-0-english-beginner,lesson-7-our-family,73-word-play,en,2018-05-30 12:53:58.177000,2018-05-30 12:54:09.447000,activity_player_detail,11.27,NA
unit-0-english-beginner,lesson-7-our-family,72-picture-play,en,2018-05-30 12:52:21.008000,2018-05-30 12:53:58.177000,activity_player_detail,97.169,NA
unit-1-english-elementary,lesson-6-a-sunday-afternoon-in-chotapur,64-clix-time,en,2018-05-30 12:44:21.178000,2018-05-30 12:45:04.617000,course_analytics_admin,43.439,NA
unit-1-english-elementary,lesson-6-a-sunday-afternoon-in-chotapur,64-clix-time,en,2018-05-30 12:43:36.734000,2018-05-30 12:44:21.178000,activity_player_detail,44.444,NA
