Unit,Lesson,Activity,Language,VisitedOn,OutTime,OutAction,TimeSpentInSeconds,Buddies
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:48:00.593000,NA,NA,NA,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,44-think,en,2018-06-04 22:47:54.280000,2018-06-04 22:48:00.593000,activity_player_detail,6.313,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:47:50.587000,2018-06-04 22:47:54.280000,activity_player_detail,3.693,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,43-galaxies,en,2018-06-04 22:47:40.800000,2018-06-04 22:47:50.587000,activity_player_detail,9.787,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:47:31.751000,2018-06-04 22:47:40.800000,activity_player_detail,9.049,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,42-activity-parallax-gesture,en,2018-06-04 22:47:26.506000,2018-06-04 22:47:31.751000,activity_player_detail,5.245,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:46:59.372000,2018-06-04 22:47:26.506000,activity_player_detail,27.134,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,41-stars,en,2018-06-04 22:46:45.476000,2018-06-04 22:46:59.372000,activity_player_detail,13.896,NA
unit-3-the-solar-system-and-beyond,lesson-3-digital-activity-3,32-activity-astroamer-planet-trek,en,2018-06-04 22:46:36.067000,2018-06-04 22:46:45.476000,activity_player_detail,9.409,NA
unit-3-the-solar-system-and-beyond,lesson-3-digital-activity-3,31-animation-solar-system,en,2018-06-04 22:46:23.285000,2018-06-04 22:46:36.067000,activity_player_detail,12.782,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,en,2018-06-04 22:46:13.481000,2018-06-04 22:46:23.285000,activity_player_detail,9.804,NA
unit-2-the-moon,lesson-4-moonrise-and-month,43-activity-2-motion-of-the-moon-with-respect-to-stars-role-play,en,2018-06-04 22:41:27.893000,2018-06-04 22:46:13.481000,activity_player_detail,285.588,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,en,2018-06-04 22:41:00.502000,2018-06-04 22:41:27.893000,activity_player_detail,27.391,NA
unit-2-the-moon,lesson-4-moonrise-and-month,42-activity-1-changes-in-the-time-of-moonrise-role-play,en,2018-06-04 22:40:25.937000,2018-06-04 22:41:00.502000,activity_player_detail,34.565,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,en,2018-06-04 22:40:22.370000,2018-06-04 22:40:25.937000,activity_player_detail,3.567,NA
unit-2-the-moon,lesson-1-motion-of-the-moon,13-activity-2-the-sun-earth-moon-system-role-play,en,2018-06-04 22:40:13.934000,2018-06-04 22:40:22.370000,activity_player_detail,8.436,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,en,2018-06-04 22:40:02.422000,2018-06-04 22:40:13.934000,activity_player_detail,11.512,NA
unit-2-the-moon,lesson-1-motion-of-the-moon,12-activity-1-motion-of-the-moon-around-the-earth-role-play,en,2018-06-04 22:39:52.688000,2018-06-04 22:40:02.422000,activity_player_detail,9.734,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,en,2018-06-04 22:39:44.796000,2018-06-04 22:39:52.688000,activity_player_detail,7.892,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,en,2018-06-04 22:39:38.372000,2018-06-04 22:39:44.796000,activity_player_detail,6.424,NA
unit-2-the-moon,lesson-4-moonrise-and-month,41-introduction,en,2018-06-04 22:39:33.204000,2018-06-04 22:39:38.372000,activity_player_detail,5.168,NA
unit-2-the-moon,lesson-1-motion-of-the-moon,11-introduction-characteristics-of-the-moon,en,2018-06-04 22:39:28.349000,2018-06-04 22:39:33.204000,activity_player_detail,4.855,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,en,2018-06-04 22:39:06.255000,2018-06-04 22:39:28.349000,activity_player_detail,22.094,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,43-activity-3-changes-in-the-night-sky-over-the-year-role-play,en,2018-06-04 22:38:51.621000,2018-06-04 22:39:06.255000,activity_player_detail,14.634,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,en,2018-06-04 22:38:45.245000,2018-06-04 22:38:51.621000,activity_player_detail,6.376,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,en,2018-06-04 22:38:36.723000,2018-06-04 22:38:45.245000,activity_player_detail,8.522,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,42-activity-2-change-in-path-of-the-sun-over-the-year-gesture,en,2018-06-04 22:38:29.193000,2018-06-04 22:38:36.723000,activity_player_detail,7.53,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,en,2018-06-04 22:38:24.926000,2018-06-04 22:38:29.193000,activity_player_detail,4.267,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,41-activity-1-revolution-of-the-earth-around-the-sun-role-play,en,2018-06-04 22:38:04.007000,2018-06-04 22:38:21.072000,course_content,17.065,NA
unit-3-the-solar-system-and-beyond,lesson-2-scaling-the-solar-system,25-comets,en,2018-06-04 22:37:47.068000,2018-06-04 22:38:04.007000,activity_player_detail,16.939,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:37:42.779000,2018-06-04 22:37:47.068000,activity_player_detail,4.289,NA
unit-3-the-solar-system-and-beyond,lesson-2-scaling-the-solar-system,24-asteroids,en,2018-06-04 22:37:29.840000,2018-06-04 22:37:42.779000,activity_player_detail,12.939,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:37:24.993000,2018-06-04 22:37:29.840000,activity_player_detail,4.847,NA
unit-3-the-solar-system-and-beyond,lesson-2-scaling-the-solar-system,23-satellites,en,2018-06-04 22:37:14.531000,2018-06-04 22:37:24.993000,activity_player_detail,10.462,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:37:08.774000,2018-06-04 22:37:14.531000,activity_player_detail,5.757,NA
unit-3-the-solar-system-and-beyond,lesson-2-scaling-the-solar-system,22-minor-planets,en,2018-06-04 22:36:59.875000,2018-06-04 22:37:08.774000,activity_player_detail,8.899,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:36:57.182000,2018-06-04 22:36:59.875000,activity_player_detail,2.693,NA
unit-3-the-solar-system-and-beyond,lesson-2-scaling-the-solar-system,21-activity-relative-sizes-of-planets-and-distances-in-solar-system-model,en,2018-06-04 22:36:48.843000,2018-06-04 22:36:57.182000,activity_player_detail,8.339,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:36:36.128000,2018-06-04 22:36:48.843000,activity_player_detail,12.715,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,en,2018-06-04 22:36:25.986000,2018-06-04 22:36:36.128000,activity_player_detail,10.142,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:36:11.688000,2018-06-04 22:36:25.986000,activity_player_detail,14.298,NA
unit-3-the-solar-system-and-beyond,lesson-1-the-solar-system,13-activity-revolution-of-planets-role-play,en,2018-06-04 22:36:04.052000,2018-06-04 22:36:11.688000,activity_player_detail,7.636,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:35:59.479000,2018-06-04 22:36:04.052000,activity_player_detail,4.573,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:35:29.068000,2018-06-04 22:35:59.479000,activity_player_detail,30.411,NA
unit-3-the-solar-system-and-beyond,lesson-1-the-solar-system,12-the-planet,en,2018-06-04 22:35:19.209000,2018-06-04 22:35:29.068000,activity_player_detail,9.859,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:35:17.054000,2018-06-04 22:35:19.209000,activity_player_detail,2.155,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:35:05.322000,2018-06-04 22:35:17.054000,activity_player_detail,11.732,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,44-think,en,2018-06-04 22:34:46.250000,2018-06-04 22:35:05.322000,activity_player_detail,19.072,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:34:40.981000,2018-06-04 22:34:46.250000,activity_player_detail,5.269,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,43-galaxies,en,2018-06-04 22:34:35.179000,2018-06-04 22:34:40.981000,activity_player_detail,5.802,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:34:30.946000,2018-06-04 22:34:35.179000,activity_player_detail,4.233,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:34:18.440000,2018-06-04 22:34:30.946000,activity_player_detail,12.506,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,42-activity-parallax-gesture,en,2018-06-04 22:33:59.557000,2018-06-04 22:34:18.440000,activity_player_detail,18.883,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,glossary,en,2018-06-04 22:33:31.043000,2018-06-04 22:33:59.557000,activity_player_detail,28.514,NA
unit-2-the-moon,lesson-2-phases-of-the-moon-and-eclipses,21-introduction,en,2018-06-04 22:32:41.953000,2018-06-04 22:33:31.043000,activity_player_detail,49.09,NA
unit-3-the-solar-system-and-beyond,lesson-4-introduction-to-the-universe,41-stars,en,2018-06-04 22:32:36.532000,2018-06-04 22:32:41.953000,activity_player_detail,5.421,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,en,2018-06-04 22:32:13.861000,2018-06-04 22:32:36.532000,activity_player_detail,22.671,NA
unit-2-the-moon,lesson-1-motion-of-the-moon,13-activity-2-the-sun-earth-moon-system-role-play,en,2018-06-04 22:32:05.454000,2018-06-04 22:32:13.861000,activity_player_detail,8.407,NA
unit-2-the-moon,lesson-1-motion-of-the-moon,12-activity-1-motion-of-the-moon-around-the-earth-role-play,en,2018-06-04 22:31:32.729000,2018-06-04 22:32:05.454000,activity_player_detail,32.725,NA
unit-2-the-moon,lesson-4-moonrise-and-month,glossary,en,2018-06-04 22:31:28.651000,2018-06-04 22:31:32.729000,activity_player_detail,4.078,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,en,2018-06-04 22:31:16.902000,2018-06-04 22:31:28.651000,activity_player_detail,11.749,NA
unit-1-the-earth,lesson-1-the-spherical-earth,12-activity-positioning-a-human-being-on-the-globe-model,en,2018-06-04 22:30:45.551000,2018-06-04 22:31:16.902000,activity_player_detail,31.351,NA
unit-1-the-earth,lesson-4-revolution-of-the-earth,glossary,en,2018-06-04 22:30:25.514000,2018-06-04 22:30:45.551000,activity_player_detail,20.037,NA
unit-3-the-solar-system-and-beyond,lesson-1-the-solar-system,11-the-sun,en,2018-06-04 22:30:22.322000,2018-06-04 22:30:25.514000,activity_player_detail,3.192,NA
unit-2-the-moon,lesson-1-motion-of-the-moon,11-introduction-characteristics-of-the-moon,en,2018-06-04 22:30:21.454000,2018-06-04 22:30:22.322000,activity_player_detail,0.868,NA
unit-1-the-earth,lesson-1-the-spherical-earth,11-introduction-the-earth-and-the-globe,en,2018-06-04 22:29:53.241000,2018-06-04 22:30:21.454000,activity_player_detail,28.213,NA
unit-1-english-elementary,lesson-5-exploring-the-village,54-clix-time,en,2018-05-31 12:05:53.097000,2018-05-31 12:09:14.885000,course_content,201.788,NA
unit-1-english-elementary,lesson-5-exploring-the-village,54-clix-time,en,2018-05-31 11:57:40.606000,2018-05-31 12:05:53.097000,activity_player_detail,492.491,NA
unit-0-english-beginner,lesson-4-days-and-dates,42-picture-play,en,2018-05-31 11:57:30.223000,2018-05-31 11:57:40.606000,activity_player_detail,10.383,NA
